id,name,abbrev,division,level,color,logo_url
waunakee-3-o-connell,Waunakee 3 - O'Connell,OConnell,U10,D3,#b5791a,/windmill/teams/waunakee-3-o-connell.png
wauankee-4-koga,Wauankee 4 - Koga,Koga,U10,D3,#0f5a4d,/windmill/teams/wauankee-4-koga.png
cottage-grove-ress,Cottage Grove - Ress,Ress,U8 Mach,D4,#e8a33d,/windmill/teams/cottage-grove-ress.png
cg-navy-waltz,CG Navy - Waltz,Waltz,U10,D4,#0e3d34,/windmill/teams/cg-navy-waltz.png
cg-white-nelson,CG White - Nelson,Nelson,U10,D4,#1b7d6c,/windmill/teams/cg-white-nelson.png
cottage-grove-mordini,Cottage Grove - Mordini,Mordini,U12,D4,#9c6a10,/windmill/teams/cottage-grove-mordini.png
columbus-rake,Columbus - Rake,Rake,uHigh,D2,#e8a33d,/windmill/teams/columbus-rake.png
jefferson-bente,Jefferson - Bente,Bente,U8 Mach,D4,#1f9d57,/windmill/teams/jefferson-bente.png
johnson-creek-bluejays-toebe,Johnson Creek Bluejays - Toebe,Toebe,U12,D3,#e8a33d,/windmill/teams/johnson-creek-bluejays-toebe.png
mcfarland-spartans-white-schuchardt,McFarland Spartans White - Schuchardt,Schuchardt,U8 Live,D4,#1b7d6c,/windmill/teams/mcfarland-spartans-white-schuchardt.png
mcfarland-spartans-blue-mccullick,McFarland Spartans Blue - McCullick,McCullick,U8 Live,D4,#c58a1a,/windmill/teams/mcfarland-spartans-blue-mccullick.png
columbus-red-simerson,Columbus Red - Simerson,Simerson,U10,D4,#c58a1a,/windmill/teams/columbus-red-simerson.png
johnson-creek-yellow-jackets-fredrick,Johnson Creek Yellow Jackets - Fredrick,Fredrick,U8 Live,D2,#14564a,/windmill/teams/johnson-creek-yellow-jackets-fredrick.png
columbus-firebirds-guerrero,Columbus Firebirds - Guerrero,Guerrero,U10,D3,#14564a,/windmill/teams/columbus-firebirds-guerrero.png
columbus-firebirds-berget,Columbus Firebirds - Berget,Berget,U14,D3,#c58a1a,/windmill/teams/columbus-firebirds-berget.png
